1,0,1.0,0
0,0,1.0,0
4,3,1.0,0
4,2,1.0,0
2,0,1.0,0
2,0,1.0,0
2,1,1.0,0
4,1,1.0,0
2,0,1.0,0
2,1,1.0,0
8,1,1.0,0
6,1,1.0,0
2,0,1.0,0
12,0,1.0,0
2,0,1.0,0
2,0,1.0,0
0,0,1.0,0
0,0,1.0,0
6,0,1.0,0
2,0,1.0,0
2,0,1.0,0
6,0,1.0,0
2,0,1.0,0
0,0,1.0,0
0,0,1.0,0
2,0,1.0,0
2,0,1.0,0
0,0,1.0,0
2,0,1.0,0
2,0,1.0,0
0,0,1.0,0
0,0,1.0,0
1,0,1.0,0
0,0,1.0,0
2,2,1.0,0
0,0,1.0,0
6,3,1.0,0
0,0,1.0,0
4,2,1.0,0
6,0,1.0,0
3,1,0.9523809523809523,0
1,0,1.0,0
0,0,1.0,0
0,0,1.0,0
1,0,1.0,1
116,116,0.017241379310344827,1
77,77,0.010362694300518135,1
117,117,0.0064516129032258064,1
82,82,0.00510204081632653,1
103,103,0.00404040404040404,1
112,112,0.0032948929159802307,1
79,79,0.0029154518950437317,1
120,120,0.0024813895781637717,1
88,88,0.0022371364653243847,1
108,108,0.001996007984031936,1
24,24,0.001949317738791423,1
85,85,0.0018001800180018,1
130,130,0.0016116035455278,1
106,106,0.0014847809948032665,1
67,67,0.0014144271570014145,1
93,93,0.0013271400132714001,1
114,114,0.0012338062924120913,1
161,161,0.001122334455667789,1
139,139,0.001041124414367517,1
43,43,0.0010183299389002036,1
38,38,0.000999000999000999,1
18,18,0.0009900990099009901,1
72,72,0.0009560229445506692,1
16,16,0.0009487666034155598,1
57,57,0.0009237875288683603,1
63,63,0.0008976660682226212,1
